tournament,tier,round,start_date,host_country,player_a,player_a_nat,player_b,player_b_nat,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
All England Open 2021,1000,Second Round,2021-03-17,England,Lee Zii Jia,Malaysia,Hans-Kristian Vittinghus,Denmark,1,0,0.5,0,0,15,0.75,0,0,100,0.5,1584.37,1500.0,84.37,0.8559,0.5,0.5,3,0,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Hans-Kristian Vittinghus,Denmark,Misha Zilberman,Israel,1,0,0.5,0,0,100,0.5,0,0,15,0.0,1484.76,1487.61,-2.85,0.35,0.35,0.5,-1,-1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Anthony Sinisuka Ginting,Indonesia,Thomas Rouxel,France,0,0,0.5,0,0,100,0.5,0,0,15,0.5,1500.0,1500.43,-0.43,0.5,0.545,0.5,0,1,0,0
All England Open 2021,1000,Second Round,2021-03-17,England,Thomas Rouxel,France,Lakshya Sen,India,0,0,0.5,0,0,15,0.5,0,0,15,0.0,1520.4,1470.49,49.91,0.6815,0.245,0.5,2,-2,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Lakshya Sen,India,Kantaphon Wangcharoen,Thailand,1,0,0.5,0,0,15,0.0,0,0,15,0.6667,1493.35,1511.6,-18.25,0.4715,0.5285,0.5,1,-1,0,0
All England Open 2021,1000,Quarter-finals,2021-03-17,England,Kento Momota,Japan,Lee Zii Jia,Malaysia,0,0,0.5,0,0,100,0.5,0,0,15,0.75,1537.49,1599.61,-62.12,0.755,0.8991,0.5,2,4,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Kai Schäfer,Germany,Ditlev Jæger Holm,Denmark,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Ditlev Jæger Holm,Denmark,Subhankar Dey,India,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1510.0,1500.0,10.0,0.65,0.5,0.5,1,0,0,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Ditlev Jæger Holm,Denmark,B. M. Rahul Bharadwaj,India,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1519.71,1500.0,19.71,0.755,0.5,0.5,2,0,0,0
Orléans Masters 2021,100,Quarter-finals,2021-03-23,France,Ditlev Jæger Holm,Denmark,Nhat Nguyen,Republic of Ireland,0,0,0.5,0,0,100,0.5,0,2,6,0.3333,1529.15,1492.63,36.51,0.8285,0.4715,0.5,3,1,0,2
Orléans Masters 2021,100,Quarter-finals,2021-03-23,France,Hans-Kristian Vittinghus,Denmark,Chico Aura Dwi Wardoyo,Indonesia,1,0,0.5,0,2,6,0.5,0,0,100,0.5,1504.93,1500.0,4.93,0.545,0.5,0.5,1,0,2,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Chico Aura Dwi Wardoyo,Indonesia,Chirag Sen,India,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1490.14,1500.0,-9.86,0.35,0.5,0.5,-1,0,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Chirag Sen,India,Soong Joo Ven,Malaysia,0,0,0.5,0,0,100,0.5,0,0,21,0.0,1509.72,1487.63,22.09,0.65,0.35,0.5,1,-1,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Hans-Kristian Vittinghus,Denmark,Johnnie Torjussen,England,1,0,0.5,0,2,6,0.5,0,0,100,0.5,1514.79,1500.0,14.79,0.6815,0.5,0.5,2,0,2,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Soong Joo Ven,Malaysia,Hans-Kristian Vittinghus,Denmark,0,0,0.5,0,0,21,0.0,0,2,6,0.5,1498.26,1524.36,-26.1,0.545,0.7771,0.5,1,3,0,2
Orléans Masters 2021,100,Third Round,2021-03-23,France,Thomas Rouxel,France,Julien Carraggi,Belgium,0,0,0.5,1,2,6,0.5,0,0,100,0.5,1497.55,1500.0,-2.45,0.477,0.5,0.5,-1,0,2,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Thomas Rouxel,France,Harry Huang,England,1,0,0.5,1,2,6,0.5,0,0,100,0.5,1487.62,1500.0,-12.38,0.3339,0.5,0.5,-2,0,2,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Mads Christophersen,Denmark,Fabio Caponio,Italy,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
